Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
90's Country,Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",90's Country,2018-08-30,172133,55,0.738,0.718,1,-5.777,0,0.0414,0.163,0.0,0.207,0.685,125.047
AA,Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",AA,2021-11-19,189560,62,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027
abcdefu (angrier),GAYLE,['modern alternative pop'],abcdefu (angrier),2021-09-24,159836,70,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849
Adam's Song,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",Enema Of The State,1999-06-01,249626,72,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028
Ain’t That Some,Morgan Wallen,['contemporary country'],One Thing At A Time,2023-03-03,158003,84,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086
Alive,Krewella,"['edm', 'electra', 'electro house', 'pop dance']",Play Hard EP,2012-06-18,290760,54,0.663,0.822,9,-2.909,1,0.0557,0.00413,0.00318,0.234,0.567,128.002
All About It (feat. Ed Sheeran),Hoodie Allen,['indie pop rap'],People Keep Talking,2014-10-14,205733,41,0.738,0.87,1,-5.343,0,0.0844,0.0124,0.0,0.14,0.845,89.988
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,"['girl group', 'pop', 'talent show']",7/27 (Deluxe),2016-05-27,210573,62,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04
All Night,Icona Pop,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']",THIS IS... ICONA POP,2013-08-27,187026,60,0.6,0.905,1,-3.41,0,0.0357,0.00274,0.0,0.831,0.636,124.032
All Night Longer REMIX (feat. B.o.B),Sammy Adams,['indie pop rap'],All Night Longer REMIX (feat. B.o.B),2014-06-23,237826,52,0.73,0.637,1,-6.417,1,0.0837,0.00362,0.0,0.0642,0.56,127.026
All Of The Lights,Kanye West,"['chicago rap', 'hip hop', 'rap']",My Beautiful Dark Twisted Fantasy,2010-11-22,299613,79,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
All On Me,Devin Dawson,"['contemporary country', 'country road', 'modern country rock']",Dark Horse,2018-01-19,224626,63,0.634,0.668,5,-5.488,1,0.0291,0.14,0.0,0.216,0.635,80.989
All Summer Long,Kid Rock,['nu metal'],Rock n Roll Jesus,2007-10-09,297586,74,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997
All The Right Moves,OneRepublic,"['piano rock', 'pop']",Waking Up,2009-01-01,238000,68,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024
All The Small Things,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",Enema Of The State,1999-06-01,167066,83,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
All Time Low,Jon Bellion,['indie pop rap'],The Human Condition,2016-06-10,217603,68,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246
All To Myself,Dan + Shay,"['contemporary country', 'country', 'country road']",Dan + Shay,2018-06-22,169920,66,0.646,0.781,1,-4.616,1,0.0313,0.208,0.0,0.125,0.565,94.975
All We Know,The Chainsmokers,"['electropop', 'pop', 'tropical house']",All We Know,2016-09-29,194080,72,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
Almost Maybes,Jordan Davis,"['contemporary country', 'country road']",Almost Maybes,2020-05-08,179152,63,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105
Alone Together,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Save Rock And Roll,2013-01-01,203413,60,0.552,0.915,4,-3.713,1,0.0559,0.0013,3.74e-05,0.206,0.606,90.013
American Country Love Song,Jake Owen,"['contemporary country', 'country', 'country road']",American Love,2016-07-29,199746,61,0.529,0.891,8,-4.36,1,0.043,0.0457,0.0,0.0942,0.329,104.031
Animals,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",All the Right Reasons (Special Edition),2005-09-26,186600,68,0.572,0.961,7,-3.089,1,0.0625,0.000734,0.021,0.207,0.818,76.998
AOK,Tai Verdes,['modern indie pop'],AOK,2021-05-06,173640,64,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
As Good As I Once Was,Toby Keith,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Honkytonk University,2005-01-01,227840,71,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075
Ashes,Stellar,['social media pop'],Ashes,2020-05-03,166355,0,0.712,0.568,5,-7.864,0,0.0546,0.0947,0.0,0.169,0.46,130.019
Asking for It,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",Threat to Survival,2015-09-18,210706,60,0.449,0.971,10,-3.66,1,0.0476,0.00273,0.0,0.141,0.414,144.031
Astronaut In The Ocean,Masked Wolf,['australian hip hop'],Astronaut In The Ocean,2021-01-06,132780,77,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
Astronomia,Vicetone,"['edm', 'electro house', 'pop dance', 'progressive electro house']",Astronomia,2016-09-16,198095,67,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093
Attention,Charlie Puth,"['pop', 'viral pop']",Voicenotes,2018-05-11,208786,84,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066
Avalanche,WALK THE MOON,"['dance rock', 'modern rock', 'pop']",TALKING IS HARD,2014-12-02,218720,53,0.594,0.858,9,-4.339,1,0.0387,0.00059,3.11e-06,0.0642,0.663,138.021
Avalanche,Migos,"['atl hip hop', 'hip hop', 'rap', 'trap']",Internet Rap Hits,2021-08-13,206271,0,0.917,0.623,1,-8.231,1,0.135,0.0985,0.0,0.0833,0.687,126.063
Baba O'Riley,The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",Thirty Years Of Maximum R&B,1994-01-01,297000,0,0.395,0.59,10,-14.027,1,0.0436,0.293,0.17,0.325,0.145,117.42
Back to Life (Birthdae),ScurtDae,[],Back to Life (Birthdae),2019-03-31,157309,0,0.528,0.632,0,-6.894,0,0.0546,0.651,5.36e-06,0.139,0.752,185.934
Backwood Bump,Waterloo Revival,['country pop'],Front Row - EP,2016-03-10,216106,33,0.603,0.778,2,-4.78,1,0.0958,0.000387,0.0,0.0728,0.781,100.038
Bad At Love,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",hopeless fountain kingdom (Deluxe),2017-06-02,181279,75,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384
Bad Blood,Taylor Swift,['pop'],1989,2014-01-01,211933,78,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157
Bad Boy,Yung Bae,['future funk'],Bad Boy,2019-06-21,187570,60,0.861,0.82,1,-4.807,0,0.0728,0.032,4.76e-06,0.0706,0.781,118.04
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,"['album rock', 'classic rock', 'dance rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'yacht rock']",Secrets,1979-01-15,192440,6,0.677,0.748,4,-12.328,1,0.038,0.00701,3.99e-05,0.093,0.746,146.03
Bad Company,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",War Is the Answer,2009-09-22,262440,70,0.558,0.886,11,-4.196,0,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041
Bad Girlfriend,Theory of a Deadman,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",Scars & Souvenirs (Special Edition),2008-04-01,205626,67,0.504,0.957,0,-2.657,1,0.0529,0.00298,0.0,0.187,0.676,135.013
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",=,2021-10-29,230746,86,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
Bad Moon Rising,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Green River (40th Anniversary Edition),1969-08-03,141600,0,0.647,0.762,2,-5.856,1,0.0287,0.0599,3.35e-06,0.0705,0.93,89.837
Bad Mother F*cker,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",General Admission (Deluxe),2015-10-16,213960,64,0.631,0.86,10,-4.994,0,0.121,0.0171,5.83e-06,0.333,0.382,181.868
Bad Things,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",Cooking At Home - Hip-Hop Edition,2020-05-08,239289,13,0.679,0.697,2,-4.75,1,0.14,0.232,0.0,0.178,0.287,137.816
Bamboleo,Gipsy Kings,"['flamenco', 'rumba', 'world']",!Volare! The Very Best of the Gipsy Kings,2000-09-05,203173,51,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574
Bandaid On A Bullet Hole,Morgan Wallen,['contemporary country'],Dangerous: The Double Album (Bonus),2021-01-29,234333,70,0.543,0.48,2,-6.745,1,0.0301,0.794,0.0,0.119,0.391,154.78
Bang!,AJR,['pov: indie'],Bang!,2020-02-12,170858,2,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918
Bangarang (feat. Sirah),Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Bangarang EP,2011-12-27,215253,71,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026
Bang Bang,Jessie J,"['dance pop', 'pop']",Bang Bang,2014-07-29,199373,57,0.707,0.752,0,-4.401,0,0.0885,0.269,0.0,0.377,0.724,150.061
Bawitdaba,Kid Rock,['nu metal'],Devil Without a Cause,1998-08-05,265840,67,0.551,0.939,11,-5.371,1,0.171,0.00172,0.000239,0.109,0.367,90.592
Beachin',Jake Owen,"['contemporary country', 'country', 'country road']",Days of Gold,2013-12-02,191040,62,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63e-05,0.0669,0.709,181.964
Beautiful Crazy,Luke Combs,"['contemporary country', 'country']",This One's for You Too (Deluxe Edition),2018-06-01,193200,81,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313
Beer Can,Luke Combs,"['contemporary country', 'country']",This One's for You,2017-06-02,210920,61,0.545,0.836,7,-5.42,1,0.0453,0.0032,0.0,0.0737,0.751,147.983
Beer Never Broke My Heart,Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,186733,79,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001
Beggin',Måneskin,"['indie rock italiano', 'italian pop', 'pop']",Chosen,2017-12-08,211560,85,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002
Be Legendary,Pop Evil,"['alternative metal', 'nu metal', 'post-grunge']",Pop Evil,2018-02-16,203273,56,0.548,0.945,4,-3.126,0,0.0519,5.4e-05,0.0421,0.199,0.383,93.96
Believer,Imagine Dragons,"['modern rock', 'pop', 'rock']",Evolve,2017-06-23,204346,89,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949
Best Shot,Jimmie Allen,"['black americana', 'contemporary country', 'country road', 'modern country rock']",Mercury Lane,2018-10-12,195053,65,0.629,0.464,4,-8.72,1,0.0334,0.75,0.0,0.0853,0.523,156.051
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,['scandipop'],Better Days (NEIKED x Mae Muller x Polo G),2021-09-24,160656,79,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
Better Together,Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,219573,0,0.552,0.225,0,-11.501,1,0.0477,0.826,0.0,0.111,0.67,138.002
"Big, Big Plans",Chris Lane,"['contemporary country', 'country', 'country road', 'modern country rock']","Big, Big Plans",2019-06-28,187306,68,0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974
Bitch Came Back,Theory of a Deadman,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",The Truth Is... (Special Edition),2011-07-08,219360,62,0.58,0.877,1,-4.193,0,0.0395,0.00122,0.0,0.322,0.614,129.968
Black,Dierks Bentley,"['contemporary country', 'country', 'country road']",Black,2016-06-10,211160,63,0.652,0.654,1,-6.69,1,0.0377,0.252,0.000553,0.117,0.605,120.019
Black,Pearl Jam,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",Ten,1991-08-27,342653,75,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15
Black - Dave Audé Remix,Dierks Bentley,"['contemporary country', 'country', 'country road']",Black (Dave Audé Remix),2021-06-04,243496,42,0.513,0.849,10,-4.607,0,0.0544,0.00461,0.0204,0.234,0.427,124.107
Black Out Days,Phantogram,"['indietronica', 'metropopolis', 'neo-synthpop']",Voices,2014-02-18,227160,75,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234
Black Out Days - Future Islands Remix,Phantogram,"['indietronica', 'metropopolis', 'neo-synthpop']",Black Out Days (Future Islands Remix),2017-09-01,248346,73,0.477,0.483,4,-9.413,0,0.0364,0.0027,0.783,0.156,0.123,170.026
Black Skinhead,Kanye West,"['chicago rap', 'hip hop', 'rap']",Yeezus,2013-06-18,188013,75,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127
Blame (feat. John Newman),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",Motion,2014-10-31,212960,78,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024
Blank Space,Taylor Swift,['pop'],1989,2014-10-27,231826,80,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006
Blank Space,I Prevail,"['alternative metal', 'nu-metalcore']",Heart Vs. Mind,2014-12-16,240927,64,0.437,0.863,11,-5.28,0,0.0941,0.00302,0.0,0.144,0.233,194.073
Bleach (On the Rocks),John Harvie,[],Bleach (On the Rocks),2021-04-23,174308,0,0.616,0.839,2,-4.281,1,0.054,0.0601,0.0,0.294,0.722,85.029
Bleed It Out,Linkin Park,"['alternative metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Minutes to Midnight,2007-05-14,166373,79,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,2020-03-20,200040,92,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
Blow,Kesha,"['dance pop', 'pop']",Cannibal (Expanded Edition),2010-11-19,219973,69,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013
Blow Your Mind (Mwah),Dua Lipa,"['dance pop', 'pop', 'uk pop']",Blow Your Mind (Mwah),2016-08-26,178583,66,0.654,0.796,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854
Blue Ain't Your Color,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",Ripcord,2016-12-16,230600,56,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45
Bodies,Drowning Pool,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal']",Sinner,2001-01-01,201960,76,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936
Body Like A Back Road,Sam Hunt,"['contemporary country', 'country', 'country pop']",Spring Break 2022: Country Favourites,2022-03-14,165386,6,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.942
Bones,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Acts 1 & 2,2022-07-01,165264,87,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061
Bonfire,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",Camp,2011-11-15,192946,8,0.506,0.745,8,-6.044,1,0.331,0.0594,0.0,0.341,0.311,161.808
Bonfire,Knife Party,"['australian dance', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton', 'pop dance']",Rage Valley,2012,272077,61,0.536,0.944,1,-3.029,1,0.0867,0.000117,0.00345,0.353,0.589,174.031
Booyah,Showtek,"['classic hardstyle', 'dutch house', 'edm', 'electro house', 'euphoric hardstyle', 'pop dance', 'progressive electro house']",Booyah,2013-01-01,311211,54,0.739,0.953,11,-2.624,1,0.133,0.00801,0.0104,0.0623,0.516,127.987
The Booze Cruise,Blackjack Billy,['modern southern rock'],Get Some EP,2013-11-19,171822,0,0.79,0.928,7,-3.24,1,0.0573,0.218,0.0,0.316,0.755,114.95
Bored To Death,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",California (Deluxe Edition),2017-05-19,235613,47,0.502,0.966,0,-3.876,1,0.0946,0.00575,1.56e-06,0.117,0.638,159.948
The Box,Roddy Ricch,"['melodic rap', 'rap', 'trap']",Please Excuse Me for Being Antisocial,2019-12-06,196652,83,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971
Boyfriend,Dove Cameron,['pop'],Boyfriend,2022-02-11,153000,82,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773
Brand New,Ben Rector,"['acoustic pop', 'indiecoustica', 'lds youth', 'neo mellow', 'piano rock']",Brand New,2015-08-28,243933,65,0.555,0.934,9,-5.04,1,0.113,0.00268,0.0,0.122,0.422,144.874
Brand New Man - with Luke Combs,Brooks & Dunn,"['contemporary country', 'country', 'country road']",Reboot,2019-04-05,191053,69,0.573,0.846,7,-4.866,1,0.0344,0.00372,7.87e-05,0.29,0.562,127.061
Bring Sally Up - Workout,HIIT BPM,[],Bring Sally Up - Workout,2019-12-15,204444,55,0.74,0.708,0,-7.461,1,0.0356,0.39,0.00629,0.121,0.696,81.022
Broccoli,DRAM,"['trap', 'underground hip hop', 'viral trap', 'virginia hip hop']",Broccoli,2016-04-06,225205,67,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99
broken,lovelytheband,"['modern alternative rock', 'pov: indie']",finding it hard to smile,2018-08-03,204878,69,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996
Burning Down the House,Talking Heads,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",Burning Down the House / I Get Wild / Wild Gravity,1983-06-01,241920,66,0.779,0.87,5,-13.141,0,0.0574,0.00644,0.0107,0.0399,0.555,102.689
Burning Man,Dierks Bentley,"['contemporary country', 'country', 'country road']",The Mountain,2018-06-08,238493,66,0.609,0.807,5,-7.221,1,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073
Buttercup,Jack Stauber,"['pittsburgh indie', 'pov: indie']",Pop Food,2017-03-25,208026,71,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046
Buy Me a Boat,Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']",Buy Me a Boat,2015-10-30,179077,69,0.574,0.745,2,-6.663,1,0.0507,0.319,0.0,0.11,0.693,154.042
Cake By The Ocean,DNCE,"['dance pop', 'pop']",DNCE,2016-11-18,219146,82,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
Can I Get an Outlaw,Luke Combs,"['contemporary country', 'country']",Can I Get an Outlaw,2016-11-04,238826,59,0.537,0.804,11,-5.491,1,0.0362,0.0181,0.000106,0.0859,0.472,75.991
Can't Get Away from a Good Time,Logan Mize,"['contemporary country', 'country pop', 'country road', 'modern country rock']",Can't Get Away from a Good Time,2014-05-27,253693,0,0.534,0.926,1,-3.834,1,0.0458,0.043,0.0,0.31,0.916,166.953
Car Radio,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Vessel,2013-01-08,267720,71,0.766,0.519,9,-7.355,0,0.0366,0.098,0.0,0.0855,0.612,129.972
Carry on Wayward Son,Kansas,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",The Essential Kansas,2010,322093,63,0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739
Castle on the Hill,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),2017-03-03,261153,80,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
Castle On the Hill,Ed Sheeran,"['pop', 'uk pop']",Meant to Be - Pop Ballad Hits,2021-08-20,261153,4,0.461,0.834,2,-4.868,1,0.0991,0.0231,1.16e-05,0.14,0.469,135.007
The Catalyst,Linkin Park,"['alternative metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",A Thousand Suns,2010-09-08,339853,55,0.56,0.925,0,-5.48,1,0.0362,0.0372,0.0,0.104,0.178,135.009
Caught Up In The Country,Rodney Atkins,"['contemporary country', 'country', 'country road']",Caught Up In The Country,2019-05-10,160991,67,0.603,0.807,7,-6.999,1,0.045,0.0123,0.0,0.539,0.685,124.099
Centuries,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,228360,81,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042
Centuries,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Centuries,2014-09-09,231813,0,0.346,0.844,9,-3.164,0,0.0857,0.00441,0.0,0.113,0.401,175.997
The Chain - 2004 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",Rumours (Super Deluxe),1977-02-04,270213,83,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553
Changed My Mind,E-Dubble,['indie pop rap'],Changed My Mind,2011-05-13,320127,49,0.586,0.831,1,-5.534,1,0.164,0.312,0.000123,0.0725,0.371,80.001
Chasin' You,Morgan Wallen,['contemporary country'],If I Know Me,2018-04-27,205453,83,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074
Chattahoochee,Alan Jackson,['country'],A Lot About Livin' (And A Little 'Bout Love),1992-10-09,148160,74,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533
Cindy Lou,Justice Moses,[],Cindy Lou,2022-08-28,193383,0,0.819,0.694,10,-6.947,1,0.277,0.192,0.0,0.592,0.619,126.97
Cinema - Skrillex Radio Edit,Benny Benassi,"['edm', 'electro house', 'pop dance']",Cinema,2011-06-02,191192,0,0.597,0.972,6,-3.92,0,0.166,0.00976,0.000205,0.332,0.417,145.11
Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Hollywood's Bleeding,2019-09-06,215280,87,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042
Clarity,Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",Clarity,2012-01-01,271426,76,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0
Classic,MKTO,"['pop', 'post-teen pop']",MKTO,2012,175426,82,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071
Close,Nick Jonas,"['dance pop', 'pop']",Last Year Was Complicated,2016-06-10,234213,70,0.654,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.996
Closer,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Closer,2016-07-29,244960,85,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
Close To Me,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Home Workout 2021,2021-08-13,182626,11,0.572,0.75,1,-5.042,0,0.0604,0.0946,0.0,0.378,0.475,144.081
Closing Time,Semisonic,"['pop rock', 'post-grunge']",20th Century Masters: The Millennium Collection: Best Of Semisonic,2003-01-01,274160,74,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854
Clubhouse,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",GO:OD AM,2015-09-18,180866,64,0.785,0.616,0,-5.927,0,0.239,0.235,0.0,0.2,0.907,115.187
COFFIN,PLVTINUM,[],HELLBOUND,2021-10-29,102352,58,0.752,0.883,6,-5.586,1,0.26,0.0831,9.93e-05,0.206,0.589,152.998
Cold Water,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Major Lazer Essentials,2018-10-19,185351,59,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.5,92.946
Colors,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",BADLANDS,2015-08-28,249499,68,0.512,0.812,1,-4.809,1,0.0617,0.0534,0.0,0.092,0.521,100.02
Come a Little Closer,Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",Melophobia,2013-10-08,229346,74,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038
